season;yr;mnth;holiday;weekday;workingday;weathersit;temp;atemp;hum;windspeed;casual;registered;cnt
0,25;0;0,083333333;0;1;0;0,666666667;0,399419962;0,432425651;0,828620051;0,316172805;0,097067449;0,094154909;0,113036493
0,25;0;0,083333333;0;0;0;0,666666667;0,421831171;0,420669143;0,715770694;0,489767727;0,038416422;0,096458393;0,091921047
0,25;0;0,083333333;0;0,166666667;1;0,333333333;0,2278885;0,225241885;0,449638046;0,489314492;0,035190616;0,176936366;0,154808354
0,25;0;0,083333333;0;0,333333333;1;0,333333333;0,232108227;0,252257116;0,607131105;0,315877217;0,031671554;0,20932911;0,179251779
0,25;0;0,083333333;0;0,5;1;0,333333333;0,263392935;0,27264965;0,449313111;0,368302714;0,024046921;0,218543046;0,183612577
0,25;0;0,083333333;0;0,666666667;1;0,333333333;0,23715426;0,277333939;0,532916195;0,17649602;0,025806452;0,218543046;0,184301125
0,25;0;0,083333333;0;0,833333333;1;0,666666667;0,228071865;0,248352947;0,512797943;0,332489265;0,04340176;0,196084077;0,17328437
0,25;0;0,083333333;0;1;0;0,666666667;0,191489288;0,192953707;0,55098509;0,525760499;0,019941349;0,128275266;0,110052789
0,25;0;0,083333333;0;0;0;0,333333333;0,160541137;0,138156205;0,446444216;0,713253971;0,015835777;0,110567233;0,094330962
0,25;0;0,083333333;0;0,166666667;1;0,333333333;0,175047901;0,179437172;0,496572751;0,439967052;0,01202346;0,184278722;0,151595134
0,25;0;0,083333333;0;0,333333333;1;0,666666667;0,196237061;0,227690464;0,705772751;0,240671734;0,012609971;0,175640656;0,144939178
0,25;0;0,083333333;0;0,5;1;0,333333333;0,200456789;0,190835728;0,616498715;0,600294012;0,007331378;0,163691333;0,133348634
0,25;0;0,083333333;0;0,666666667;1;0,333333333;0,191489288;0,179431226;0,48371928;0,593146692;0,011143695;0,196947884;0,161349552
0,25;0;0,083333333;0;0,833333333;1;0,333333333;0,186696253;0,224062191;0,553034447;0,249373846;0,015835777;0,196803916;0,16307092
0,25;0;0,083333333;0;1;0;0,666666667;0,270792545;0,295056701;0,51285347;0,311279837;0,065102639;0,147710913;0,14321781
0,25;0;0,083333333;0;0;0;0,333333333;0,268859084;0,27853266;0,497429306;0,371323624;0,073607038;0,137201267;0,138168465
0,25;0;0,083333333;1;0,166666667;0;0,666666667;0,20406143;0,210217435;0,552699229;0,382327382;0,03431085;0,127123524;0,114757861
0,25;0;0,083333333;0;0,333333333;1;0,666666667;0,251450967;0,276292193;0,886032905;0,28923291;0,002639296;0,097034264;0,078379619
0,25;0;0,083333333;0;0,5;1;0,666666667;0,339079946;0,354885741;0,762713625;0,410506776;0,0228739;0,226317305;0,189350471
0,25;0;0,083333333;0;0,666666667;1;0,666666667;0,303675318;0,303307424;0,553555784;0,386045879;0,024340176;0,265476533;0,221138398
0,25;0;0,083333333;0;0,833333333;1;0,333333333;0,205996052;0,187696219;0,470008226;0,696094099;0,021994135;0,211344659;0,177071379
0,25;0;0,083333333;0;1;0;0,333333333;0,068623262;0,094030177;0,411311054;0,33888185;0,027272727;0,127843363;0,112577462
0,25;0;0,083333333;0;0;0;0,333333333;0,112017403;0,117540219;0,44886581;0,485946759;0,04398827;0,12035704;0,113151251
0,25;0;0,083333333;0;0,166666667;1;0,333333333;0,11302661;0,140243264;0,505644216;0,312003043;0,025219941;0,191477109;0,162497131
0,25;0;0,083333333;0;0,333333333;1;0,666666667;0,259355412;0,278900126;0,634403085;0,255774313;0,054545455;0,258997984;0,227794354
0,25;0;0,083333333;0;0,5;1;1;0,252417697;0,242122688;0,88688946;0,579056995;0,009970674;0,067952779;0,058067478
0,25;0;0,083333333;0;0,666666667;1;0,333333333;0,226305522;0,261268932;0,706940874;0,224325714;0,004398827;0,059890585;0,049460638
0,25;0;0,083333333;0;0,833333333;1;0,666666667;0,236144589;0,265570296;0,81546838;0,242973379;0,011143695;0,162539591;0,133922424
0,25;0;0,083333333;0;1;0;0,333333333;0,228071865;0,252261873;0,670168638;0,286454382;0,036070381;0,140368557;0,126004131
0,25;0;0,083333333;0;0;0;0,333333333;0,251282688;0,29768485;0,742595373;0,145789151;0,041055718;0,13763317;0,125774616
0,25;0;0,083333333;0;0,166666667;1;0,666666667;0,209864135;0,221489935;0,620822622;0,368878125;0,012316716;0,210048949;0,172251549
