Reason for absence;Month of absence;Day of the week;Seasons;Transportation expense;Distance from Residence to Work;Service time;Age;Work load Average/day ;Disciplinary failure;Education;Son;Social drinker;Social smoker;Pet;Weight;Height;Body mass index;Absenteeism time in hours
0,928571429;0,583333333;0,5;0,25;0,744845361;0,692307692;0,448275862;0,568965517;0,632262117;0;0,25;0,5;1;0;0,125;0,833333333;0,87755102;0,789473684;0,033333333
0;0,583333333;0,5;0,25;0,304123711;0,25;0,620689655;0,862068966;0,632262117;1;0,25;0,25;1;0;0;0,907407407;0,908163265;0,815789474;0
0,821428571;0,583333333;0,666666667;0,25;0,461340206;0,980769231;0,620689655;0,655172414;0,632262117;0;0,25;0;1;0;0;0,824074074;0,867346939;0,815789474;0,016666667
0,25;0,583333333;0,833333333;0,25;0,719072165;0,096153846;0,482758621;0,672413793;0,632262117;0;0,25;0,5;1;1;0;0,62962963;0,857142857;0,631578947;0,033333333
0,821428571;0,583333333;0,833333333;0,25;0,744845361;0,692307692;0,448275862;0,568965517;0,632262117;0;0,25;0,5;1;0;0,125;0,833333333;0,87755102;0,789473684;0,016666667
0,821428571;0,583333333;1;0,25;0,461340206;0,980769231;0,620689655;0,655172414;0,632262117;0;0,25;0;1;0;0;0,824074074;0,867346939;0,815789474;0,016666667
0,785714286;0,583333333;1;0,25;0,930412371;1;0,103448276;0,482758621;0,632262117;0;0,25;0,25;1;0;0,5;0,740740741;0,87755102;0,710526316;0,066666667
0,821428571;0,583333333;1;0,25;0,670103093;0,961538462;0,379310345;0,620689655;0,632262117;0;0,25;1;1;0;0;0,601851852;0,857142857;0,605263158;0,033333333
0,678571429;0,583333333;0,333333333;0,25;0,399484536;0,230769231;0,482758621;0,586206897;0,632262117;0;0,25;0,5;1;0;0;0,87962963;1;0,657894737;0,333333333
0,785714286;0,583333333;0,333333333;0,25;0,605670103;0,211538462;0,482758621;0,637931034;0,632262117;0;0,75;0,25;0;0;0,125;0,814814815;0,87755102;0,763157895;0,066666667
0,035714286;0,583333333;0,333333333;0,25;0,670103093;0,961538462;0,379310345;0,620689655;0,632262117;0;0,25;1;1;0;0;0,601851852;0,857142857;0,605263158;0,066666667
0,035714286;0,583333333;0,5;0,25;0,670103093;0,961538462;0,379310345;0,620689655;0,632262117;0;0,25;1;1;0;0;0,601851852;0,857142857;0,605263158;0,066666667
